#Error vs time for scheme 1, model 3
#1-t                     2-Error(t)               
0                        0                        
0.1                      1.44621e-07              
0.2                      4.85317e-07              
0.3                      9.07777e-07              
0.4                      1.23317e-06              
0.5                      1.2475e-06               
0.6                      1.2475e-06               
0.7                      1.2475e-06               
0.8                      2.51747e-06              
0.9                      5.41652e-06              
1                        9.12901e-06              
1.1                      1.35284e-05              
1.2                      1.8424e-05               
1.3                      2.35814e-05              
1.4                      2.87468e-05              
1.5                      3.36694e-05              
1.6                      3.81222e-05              
1.7                      4.19179e-05              
1.8                      4.49202e-05              
1.9                      4.705e-05                
2                        4.82864e-05              
2.1                      4.86639e-05              
2.2                      4.86639e-05              
2.3                      4.86639e-05              
2.4                      4.86639e-05              
2.5                      4.86639e-05              
2.6                      4.86639e-05              
2.7                      4.86639e-05              
2.8                      4.86639e-05              
2.9                      4.86639e-05              
3                        4.86639e-05              
3.1                      4.86639e-05              
3.2                      4.86639e-05              
3.3                      4.86639e-05              
3.4                      4.86639e-05              
3.5                      4.86639e-05              
3.6                      4.86639e-05              
3.7                      4.86639e-05              
3.8                      4.86639e-05              
3.9                      4.86639e-05              
4                        5.05532e-05              
4.1                      5.33407e-05              
4.2                      5.61354e-05              
4.3                      5.89702e-05              
4.4                      6.19332e-05              
4.5                      6.51755e-05              
4.6                      6.89145e-05              
4.7                      7.3434e-05               
4.8                      7.90752e-05              
4.9                      8.62201e-05              
5                        9.52628e-05              
5.1                      0.000106569              
5.2                      0.000120422              
5.3                      0.000136965              
5.4                      0.000156135              
5.5                      0.000177608              
5.6                      0.000200763              
5.7                      0.00022468               
5.8                      0.000248171              
5.9                      0.000269872              
6                        0.000288362              
6.1                      0.000302322              
6.2                      0.000310686              
6.3                      0.000312788              
